Id,duns,bp name,addr,postl
167,690553821,Mitsubishi Chemical CorporationSubstainable Resources Business Dev,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251
168,690553821,Mitsubishi Chemical CorporationSubstainable Resources Business DevPetrochemicals R&TD Division,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL
169,690553821,Mitsubishi Chemical CorporationSustainable Ressource Dept.,"14-1, Shiba 4-Chome, Minato-ku,Tokyo 108-0014",NULL
170,690553821,Mitsubishi Chemical CorporationTechnology Center,"1 Toho-Cho,,Yokkaichi, Mie",5108530
171,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Kadowaki,"1 Toho-Cho,,Yokkaichi, Mie",5108530
172,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Zhang Tao,"1 Toho-Cho,,Yokkaichi, Mie",5108530
173,690553821,Mitsubishi Chemical CorporationTokyo Sales GroupImaging Materials DepartmentChiyoda-ku,"1-1 Marunouchi 1-Chome,JP-Tokyo 100-8251",NULL
174,690553821,Mitsubishi Chemical CorporationTsuba Plant,"1000 Higashi-mamiana, Ushiku City,Ibaraki",3001295
175,690553821,"Mitsubishi Chemical CorporationYokkaichi Plant, Polymers Lab.",",Yokkaichi",5108530
176,690553821,Mitsubishi Chemical Holdings Corpor,"1-1, Marunouchi 1-Chome,Chiyoda-Ku, Tokyo",NULL
177,690553821,"MITSUBISHI CHEMICAL SYSTEMS, Inc.","Skytree East Tower, 1-1-2,,Tokyo",NULL
178,691197610,"Mitsubishi Chemical Eng. CorporationKyushi Operation, Engineering Div.","1-2 Shiroshi, Kurosaki,JP-Yahatanishi-ku, Kitakyushi-City",NULL
179,691197610,Mitsubishi Chemical Eng. CorporationShin-Tamachi Building,"34-6, Shiba 5-chome, Minato-ku,JP-1080014 Tokyo",NULL
180,691197610,Mitsubishi Chemical Engineering Corporation,NULL,NULL
181,691197610,Mitsubishi Chemical Engineering Corporation,"2-2,Nihonbashi-Hongokucho 1-chome Chuo-ku,Tokyo,Japan",NULL
182,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,JP-100-8350 Tokyo",NULL
183,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,Tokyo",1008350
184,691649669,Mitsubishi Engineering-Plastics,"1-9-2 Higashi-shinbashi Minato-ku,JP 105-0021 Tokyo",1050021
185,694112624,"Mitsubishi Kagaku Iatron, Inc.","13-1, Nishi-Goken-cho, Shinjuku-ku,JP-Tokyo 162-0812",NULL
186,711231758,Mitsubishi Chemical Group Corporati,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-100-8251 Tokyo",NULL
187,711231758,Mitsubishi Chemical Group Corporatiehem.Mitsubishi Chemical Holding Co,"1-1-1 Marunouchi, Chiyoda-ku,JP-Tokyo 100-8251",NULL
188,717662735,"MITSUBISHI GAS CHEMICAL TRADING,INC","KANDA SQUARE 15/F, 2-2-1, KANDA-NIS,CHIYODA-KU, TOKYO 101-0054",NULL
189,785720798,Mitsubishi Chemical Carbon Fiber &Composites Inc.,"5900 88th Street,Sacramento",95828
190,785720798,Mitsubishi Chemical Carbon Fiber& Composites Inc.,"5900 88th Street,Sacramento",95828
191,864151507,Mitsubishi Chemical India Pvt. Ltd.F 33 Riico Ind. Area,"Epip, Neemrana, Alwar,Rajasthan",301705
192,914725101,Mitsubishi Chemical PolimerosDe Desempenho Ltd.aID Code: CNPJ 17.195.857/0001-0,"Rua Luiz Onofre de Amorim 1920,Atibaia - SP",12948-009
